Year,DoY,ACN 3,ACN 10,ACN 20,AHN 3,AHN 10,AHN 20,ECN 3,ECN 10,ECN 20
2009,33,626.1668715,795.9419084,826.0927191,560.6793793,892.551503,338.6144045,524.3285774,491.8138962,703.5684706
2009,34,625.431491,801.6566218,833.6046387,581.5631123,933.0993382,366.728111,532.2794202,496.21643,705.5759441
2009,35,599.5395481,785.6500903,831.1196607,565.0973446,917.9293915,374.6178895,563.9517365,535.6451541,733.3498903
2009,36,608.8017392,773.6855729,835.6061845,583.0149594,947.6828073,402.1535336,557.8582128,544.5783657,755.2414417
2009,37,615.5551996,772.3173919,838.3171768,577.7019883,946.3349132,418.7631474,560.7819586,547.7636566,765.520902
2009,38,625.1891337,773.7078126,837.5767644,558.3561513,932.5994915,411.6741922,566.139449,557.2583155,774.1062681
2009,39,643.2743612,752.215398,807.4281272,543.7308515,895.0770556,381.5696711,578.1669683,573.5911395,786.4467913
2009,40,621.5454583,765.0675494,818.5751316,548.6661972,891.4553423,387.4249204,556.415599,556.797229,798.8902253
2009,41,622.4993228,739.0495397,807.2544964,528.1191115,871.4932396,370.1341488,559.7435271,563.3905264,797.0159139
2009,42,626.0000513,728.1268517,781.045386,511.6056248,831.6201303,328.9954027,563.0509742,563.956014,791.7355202
2009,43,599.613393,706.8447824,764.4730275,510.7055951,823.9083195,308.7844294,560.4848802,561.7960365,784.8380425
2009,44,609.216276,704.0004746,765.6298039,531.4482598,848.9538602,328.436998,573.575348,585.062468,799.0438325
2009,45,630.8109975,714.4556817,771.9133639,529.2439689,817.021223,309.4149706,584.7778629,624.9144766,809.2928746
2009,46,648.1462021,719.0107868,771.79959,518.4334768,814.2794177,294.1613523,580.1419261,606.2157313,815.4717562
2009,47,655.0951396,729.6059573,763.0850233,540.1966269,828.3258668,288.169327,584.1782315,600.496395,815.4627366
2009,48,724.0790577,826.8758374,811.4621438,562.3305208,869.4220206,305.3316838,631.3316972,671.6935055,853.7126196
2009,49,712.8748375,848.5322457,836.0259778,570.7367102,894.935542,311.8562282,593.6758585,663.1509116,869.144529
2009,50,699.1591607,839.5906156,836.8851711,564.6426145,891.4330358,314.1785978,585.6503086,651.6481258,865.8266492
2009,51,671.8373912,842.4031857,838.6328324,548.1105618,883.9998996,308.8435361,578.3585614,636.4227742,859.6046006
2009,52,676.4215369,844.0816217,838.0245593,569.3966819,883.8079462,301.0488831,591.4958066,645.4418627,857.0003324
2009,53,681.4537159,869.3879832,852.7009352,591.662586,903.1982567,318.7626932,602.1876777,668.1651018,871.2196254
2009,54,692.4710304,874.1837335,872.8435596,640.9020234,965.5072557,368.8897772,602.6122089,675.7724489,887.618859
2009,55,757.2666686,913.7394972,939.2902749,679.4764222,1041.099486,440.1546605,641.215918,705.3411031,916.5923952
2009,56,759.0741784,938.9425708,976.5840547,653.8417284,1041.695276,464.8440322,653.8570704,734.6808927,963.4553032
2009,57,737.828406,959.4654811,998.12162,645.8562723,1044.62647,463.8196153,630.575938,723.8449951,992.9105288
2009,58,717.8585035,909.0124762,938.6998224,592.8097564,984.4168881,418.1736487,604.6644412,679.5000725,938.661393
2009,59,683.9019605,863.9827214,910.7428966,581.1445581,970.7296932,381.4417836,594.0341453,656.6945373,891.1891732
2009,60,668.0811419,823.8764486,890.0511556,594.6987242,952.5532421,384.4787059,607.6605661,658.6696524,888.4775592
2009,61,679.8238861,897.5805995,992.6513065,651.5961366,1054.269212,475.7654133,669.5053365,740.8921924,992.8589326
2009,62,694.6588424,987.2989183,1093.275118,678.1225243,1127.612056,546.5121071,684.7585679,796.0453371,1115.823591
2009,63,707.2795747,988.3718636,1104.894421,674.1257488,1127.752855,564.1110115,685.6240974,812.7723,1142.616084
2009,64,676.7998181,968.9827638,1083.97329,646.9652399,1105.070309,555.4659635,639.7708192,772.1694876,1128.46142
2009,65,644.2678686,901.2603711,1014.010963,608.5214397,1040.555726,491.2747084,626.4983763,727.886688,1043.660408
